,choice_fighter_name,fstar_parlay,choice_ev,choice_real_odds,parlay_net_odds,pred_winner,choice_proba,parlay_prob,parlay_ev,date,winner,parlay_strategy,fstar_net,choice_decimal_odds
2,cody brundage,0.07574893582877579,0.04781304067180242,1.862068965517241,1.6068965517241374,1,0.5627144107311532,0.44429920509430687,0.1582420656941239,2025-03-01,1.0,top_ev,0.07574893582877579,1.862068965517241
0,iasmin lucindo,0.07664663661537757,0.15566427114262937,1.7692307692307692,-1.0,0,0.6532015445588775,0.3770530938883059,0.2471756182459346,2025-03-08,1.0,top_ev,-0.07664663661537757,1.7692307692307692
6,alex pereira,0.07664663661537757,0.0791850621226059,1.869565217391304,-1.0,1,0.5772385216004637,0.3770530938883059,0.2471756182459346,2025-03-08,0.0,top_ev,-0.07664663661537757,1.869565217391304
2,chidi njokuani,0.06446061795539199,0.38415291033307786,2.75,-1.0,1,0.5033283310302101,0.34098326147572255,0.5426742716764543,2025-03-15,1.0,top_ev,-0.06446061795539199,2.75
7,josiane nunes,0.06446061795539199,0.11452590256464523,1.6451612903225803,-1.0,1,0.6774569211667453,0.34098326147572255,0.5426742716764543,2025-03-15,0.0,top_ev,-0.06446061795539199,1.6451612903225803
7,shauna bannon,0.0817584190904256,0.14215579784572197,1.5714285714285714,-1.0,1,0.726826416810914,0.4087726842953101,0.2263180528859301,2025-03-22,1.0,top_ev,-0.0817584190904256,1.5714285714285714
6,jai herbert,0.0817584190904256,0.07368719328742268,1.9090909090909087,-1.0,1,0.5624075774362691,0.4087726842953101,0.2263180528859301,2025-03-22,0.0,top_ev,-0.0817584190904256,1.9090909090909087
3,manuel torres,0.10560971294705158,0.14492524078349833,1.819672131147541,1.4162859446385379,1,0.6291931503404811,0.5169828461393611,0.24917838474576604,2025-03-29,1.0,top_ev,0.10560971294705158,1.819672131147541
6,rafa garcia,0.10560971294705158,0.09105672601900616,1.3278688524590163,1.4162859446385379,1,0.8216600035451775,0.5169828461393611,0.24917838474576604,2025-03-29,1.0,top_ev,0.10560971294705158,1.3278688524590163
3,lerone murphy,0.07370560026389912,0.09408072990891941,1.359712230215827,1.1990407673860908,0,0.8046413833721684,0.5094924392943893,0.12039464468334504,2025-04-05,0.0,top_ev,0.07370560026389912,1.359712230215827
2,brad tavares,0.07370560026389912,0.024051163735071157,1.617283950617284,1.1990407673860908,1,0.6331919409354256,0.5094924392943893,0.12039464468334504,2025-04-05,1.0,top_ev,0.07370560026389912,1.617283950617284
10,nikita krylov,0.09977795419820527,0.15320766837881783,1.6756756756756757,-1.0,1,0.6882045762905848,0.46875875488869345,0.20330021956476574,2025-04-12,0.0,top_ev,-0.09977795419820527,1.6756756756756757
3,sean woodson,0.09977795419820527,0.0434375807233125,1.5319148936170213,-1.0,0,0.6811328651943845,0.46875875488869345,0.20330021956476574,2025-04-12,1.0,top_ev,-0.09977795419820527,1.5319148936170213
