date,fighter_red,fighter_blue,pred_winner_close,winner_close,close1_red,close1_blue,pred_winner_open,winner_open,open_red,open_blue,choice_fighter,close_american,same_choice_open_american,open_pick_american,close_decimal,same_choice_open_decimal,open_pick_decimal,close_win,open_win,odds_type,bin_low,close2_red,close2_blue
2024-10-19,anthony hernandez,michel pereira,1,1.0,-162.0,110.0,1,1.0,-170.0,142.0,anthony hernandez,-162.0,-170.0,-170.0,1.617283950617284,1.5882352941176472,1.5882352941176472,True,True,close1,-200,,
2024-10-19,austen lane,robelis despaigne,0,1.0,260.0,-440.0,0,1.0,300.0,-380.0,robelis despaigne,-440.0,-380.0,-380.0,1.2272727272727273,1.263157894736842,1.263157894736842,False,False,close1,-450,,
2024-10-19,brad katona,jean matsumoto,0,0.0,170.0,-230.0,0,0.0,185.0,-225.0,jean matsumoto,-230.0,-225.0,-225.0,1.434782608695652,1.4444444444444444,1.4444444444444444,True,True,close1,-250,,
2024-10-19,charles johnson,sumudaerji,1,1.0,-305.0,210.0,1,1.0,-198.0,164.0,charles johnson,-305.0,-198.0,-198.0,1.3278688524590163,1.5050505050505052,1.5050505050505052,True,True,close1,-350,,
2024-10-19,darren elkins,daniel pineda,1,1.0,-170.0,120.0,1,1.0,124.0,-148.0,darren elkins,-170.0,124.0,124.0,1.5882352941176472,2.24,2.24,True,True,close1,-200,,
2024-10-19,jessica penne,elise reed,0,0.0,163.0,-230.0,0,0.0,130.0,-155.0,elise reed,-230.0,-155.0,-155.0,1.434782608695652,1.6451612903225805,1.6451612903225805,True,True,close1,-250,,
2024-10-19,matheus nicolau,asu almabayev,0,0.0,175.0,-250.0,0,0.0,180.0,-218.0,asu almabayev,-250.0,-218.0,-218.0,1.4,1.4587155963302751,1.4587155963302751,True,True,close1,-250,,
2024-10-19,melissa martinez,alice ardelean,1,1.0,-160.0,120.0,1,1.0,-155.0,130.0,melissa martinez,-160.0,-155.0,-155.0,1.625,1.6451612903225805,1.6451612903225805,True,True,close1,-200,,
2024-10-19,rob font,kyler phillips,0,1.0,375.0,-650.0,0,1.0,185.0,-225.0,kyler phillips,-650.0,-225.0,-225.0,1.1538461538461537,1.4444444444444444,1.4444444444444444,False,False,close1,-650,,
2024-10-26,abus magomedov,brunno ferreira,1,1.0,-165.0,128.0,1,1.0,100.0,-120.0,abus magomedov,-165.0,100.0,100.0,1.606060606060606,2.0,2.0,True,True,close1,-200,,
2024-10-26,geoff neal,rafael dos anjos,1,1.0,-300.0,200.0,1,1.0,-170.0,142.0,geoff neal,-300.0,-170.0,-170.0,1.3333333333333333,1.5882352941176472,1.5882352941176472,True,True,close1,-300,,
2024-10-26,ilia topuria,max holloway,1,1.0,-305.0,210.0,1,1.0,-188.0,146.0,ilia topuria,-305.0,-188.0,-188.0,1.3278688524590163,1.5319148936170213,1.5319148936170213,True,True,close1,-350,,
2024-10-26,ismail naurdiev,bruno silva,1,1.0,-182.0,124.0,1,1.0,124.0,-148.0,ismail naurdiev,-182.0,124.0,124.0,1.5494505494505495,2.24,2.24,True,True,close1,-200,,
2024-10-26,kennedy nzechukwu,chris barnett,1,1.0,-800.0,500.0,1,1.0,-752.0,475.0,kennedy nzechukwu,-800.0,-752.0,-752.0,1.125,1.1329787234042552,1.1329787234042552,True,True,close1,-800,,
2024-10-26,lerone murphy,dan ige,1,1.0,-350.0,210.0,1,1.0,-170.0,142.0,lerone murphy,-350.0,-170.0,-170.0,1.2857142857142856,1.5882352941176472,1.5882352941176472,True,True,close1,-350,,
2024-10-26,mateusz rebecki,myktybek orolbai,0,1.0,215.0,-335.0,0,1.0,100.0,-120.0,myktybek orolbai,-335.0,-120.0,-120.0,1.2985074626865671,1.8333333333333335,1.8333333333333335,False,False,close1,-350,,
2024-10-26,robert whittaker,khamzat chimaev,0,0.0,175.0,-250.0,0,0.0,155.0,-195.0,khamzat chimaev,-250.0,-195.0,-195.0,1.4,1.5128205128205128,1.5128205128205128,True,True,close1,-250,,
2024-10-26,shara magomedov,armen petrosyan,1,1.0,-205.0,138.0,1,1.0,-250.0,205.0,shara magomedov,-205.0,-250.0,-250.0,1.4878048780487805,1.4,1.4,True,True,close1,-250,,
2024-11-02,aiemann zahabi,pedro munhoz,1,1.0,-230.0,150.0,1,1.0,115.0,-140.0,aiemann zahabi,-230.0,115.0,115.0,1.434782608695652,2.15,2.15,True,True,close1,-250,,
2024-11-02,alexandr romanov,rodrigo nascimento,1,1.0,-150.0,107.0,1,1.0,105.0,-138.0,alexandr romanov,-150.0,105.0,105.0,1.6666666666666665,2.05,2.05,True,True,close1,-150,,
2024-11-02,ariane da silva,jasmine jasudavicius,0,0.0,175.0,-260.0,0,0.0,140.0,-165.0,jasmine jasudavicius,-260.0,-165.0,-165.0,1.3846153846153846,1.606060606060606,1.606060606060606,True,True,close1,-300,,
2024-11-02,brandon moreno,amir albazi,1,1.0,-180.0,140.0,1,1.0,-150.0,125.0,brandon moreno,-180.0,-150.0,-150.0,1.5555555555555556,1.6666666666666665,1.6666666666666665,True,True,close1,-200,,
